wires 0
00-98 01-3b 02-c7 03-bd 04-16 05-f2 06-4a 07-5d 
50-16 51-3a 52-87 53-af 54-1d 55-7a 56-e3 57-5e 
58-14 59-98 5a-eb 5b-ce 5c-f6 5d-89 5e-57 5f-ab 
60-bf 61-8d 62-2e 63-33 64-49 65-7c 66-ea 67-12 
68-00 69-7b 6a-c9 6b-2a 6c-35 6d-f2 6e-1e 6f-44 
70-d6 71-72 72-71 73-de 74-f4 75-11 76-7e 77-90 
78-b0 79-b4 7a-55 7b-69 7c-65 7d-ad 7e-76 7f-d9 
80-db 81-19 82-02 83-ed 84-c5 85-d5 86-4f 87-52 
88-0d 89-5d 8a-d4 8b-04 8c-1a 8d-61 8e-0b 8f-45 
90-77 91-96 92-c0 93-ee 94-22 95-e9 96-91 97-2f 
98-59 99-c7 9a-dc 9b-21 9c-fb 9d-ef 9e-3c 9f-4e 
a0-cb a1-1c a2-d8 a3-26 a4-4b a5-c6 a6-1f a7-d0 
a8-18 a9-43 aa-b9 ab-5f ac-03 ad-7d ae-08 af-53 
b0-78 b1-e8 b2-ca b3-41 b4-79 b5-da b6-31 b7-3d 
b8-e0 b9-aa ba-e5 bb-c1 bc-e2 bd-3b be-df bf-60 
c0-92 c1-bb c2-fd c3-4a c4-40 c5-84 c6-a5 c7-99 
c8-f5 c9-6a ca-b2 cb-a0 cc-23 cd-2d ce-5b cf-32 
d0-a7 d1-24 d2-e6 d3-05 d4-8a d5-85 d6-70 d7-f1 
d8-a2 d9-7f da-b5 db-80 dc-9a dd-17 de-73 df-be 
e0-b8 e1-f8 e2-bc e3-56 e4-30 e5-ba e6-d2 e7-f3 
e8-b1 e9-95 ea-66 eb-5a ec-15 ed-83 ee-93 ef-9d 
f0-f9 f1-d7 f2-6d f3-e7 f4-74 f5-c8 f6-5c f7-3e 
f8-e1 f9-f0 fa-39 fb-9c fc-0a fd-c2 fe-4d ff-46 
end wires

wires 6
00-6f 01-24 02-b6 03-e9 04-d7 05-bc 06-83 07-26 
08-d3 09-1c 0a-fd 0b-10 0c-45 0d-85 0e-e8 0f-77 
10-0b 11-41 12-29 13-31 14-21 15-f8 16-70 17-eb 
18-7e 19-79 1a-1f 1b-89 1c-09 1d-c0 1e-ca 1f-1a 
20-e6 21-14 22-f1 23-da 24-01 25-78 26-07 27-37 
28-92 29-12 2a-90 2b-bf 2c-ef 2d-62 2e-a3 2f-f7 
30-5e 31-13 32-a7 33-f2 34-f6 35-6b 36-97 37-27 
38-43 39-b0 3a-72 3b-b8 3c-f4 3d-68 3e-d2 3f-ab 
40-5f 41-11 42-d6 43-38 44-9c 45-0c 46-f3 47-fb 
48-5c 49-82 4a-f0 4b-7a 4c-ae 4d-de 4e-ee 4f-53 
50-d9 51-be 52-c6 53-4f 54-ff 55-88 56-cd 57-9e 
58-60 59-ea 5a-ac 5b-a1 5c-48 5d-c2 5e-30 5f-40 
60-58 61-cf 62-2d 63-8f 64-f9 65-d8 66-6c 67-96 
68-3d 69-84 6a-fa 6b-35 6c-66 6d-b1 6e-7c 6f-00 
70-16 71-9f 72-3a 73-b2 74-ec 75-76 76-75 77-0f 
78-25 79-19 7a-4b 7b-c9 7c-6e 7d-ed 7e-18 7f-86 
80-a5 81-c7 82-49 83-06 84-69 85-0d 86-7f 87-d1 
88-55 89-1b 8a-dc 8b-a6 8c-cc 8d-e3 8e-a0 8f-63 
90-2a 91-a9 92-28 93-a8 94-b3 95-b7 96-67 97-36 
98-bd 99-c8 9a-e1 9b-fe 9c-44 9d-f5 9e-57 9f-71 
a0-8e a1-5b a2-b9 a3-2e a4-c5 a5-80 a6-8b a7-32 
a8-93 a9-91 aa-b5 ab-3f ac-5a ad-e5 ae-4c af-d5 
b0-39 b1-6d b2-73 b3-94 b4-e2 b5-aa b6-02 b7-95 
b8-3b b9-a2 ba-c1 bb-e0 bc-05 bd-98 be-51 bf-2b 
c0-1d c1-ba c2-5d c3-e7 c4-d0 c5-a4 c6-52 c7-81 
c8-99 c9-7b ca-1e cb-db cc-8c cd-56 ce-e4 cf-61 
d0-c4 d1-87 d2-3e d3-08 d4-df d5-af d6-42 d7-04 
d8-65 d9-50 da-23 db-cb dc-8a dd-fc de-4d df-d4 
e0-bb e1-9a e2-b4 e3-8d e4-ce e5-ad e6-20 e7-c3 
e8-0e e9-03 ea-59 eb-17 ec-74 ed-7d ee-4e ef-2c 
f0-4a f1-22 f2-33 f3-46 f4-3c f5-9d f6-34 f7-2f 
f8-15 f9-64 fa-6a fb-47 fc-dd fd-0a fe-9b ff-54 
end wires

wires 7
00-f0 01-7e 02-2c 03-8c 04-b9 05-0d 06-c5 07-13 
08-39 09-ab 0a-ef 0b-69 0c-3b 0d-05 0e-d7 0f-ed 
10-47 11-78 12-8d 13-07 14-5b 15-f7 16-7d 17-b2 
18-be 19-d5 1a-f2 1b-94 1c-34 1d-e4 1e-9f 1f-57 
20-22 21-6a 22-20 23-fc 24-5f 25-e5 26-9b 27-2b 
28-db 29-80 2a-86 2b-27 2c-02 2d-a6 2e-91 2f-7f 
30-8e 31-c4 32-d4 33-cd 34-1c 35-b4 36-a4 37-54 
38-66 39-08 3a-cb 3b-0c 3c-bf 3d-d3 3e-90 3f-85 
40-cc 41-dc 42-5a 43-6c 44-e8 45-b8 46-c2 47-10 
48-79 49-f4 4a-c8 4b-64 4c-a7 4d-84 4e-f5 4f-6e 
50-b5 51-ca 52-af 53-63 54-37 55-a8 56-88 57-1f 
58-d6 59-87 5a-42 5b-14 5c-ad 5d-df 5e-6b 5f-24 
60-d2 61-c7 62-c9 63-53 64-4b 65-c0 66-38 67-ea 
68-fa 69-0b 6a-21 6b-5e 6c-43 6d-eb 6e-4f 6f-95 
70-92 71-75 72-e1 73-f6 74-f8 75-71 76-ba 77-dd 
78-11 79-48 7a-c1 7b-89 7c-9c 7d-16 7e-01 7f-2f 
80-29 81-d1 82-b1 83-8a 84-4d 85-3f 86-2a 87-59 
88-56 89-7b 8a-83 8b-b0 8c-03 8d-12 8e-30 8f-ee 
90-3e 91-2e 92-70 93-a3 94-1b 95-6f 96-ce 97-a1 
98-a9 99-e3 9a-ae 9b-26 9c-7c 9d-f3 9e-e0 9f-1e 
a0-ec a1-97 a2-ff a3-93 a4-36 a5-d8 a6-2d a7-4c 
a8-55 a9-98 aa-c3 ab-09 ac-b7 ad-5c ae-9a af-52 
b0-8b b1-82 b2-17 b3-b6 b4-35 b5-50 b6-b3 b7-ac 
b8-45 b9-04 ba-76 bb-e9 bc-de bd-f1 be-18 bf-3c 
c0-65 c1-7a c2-46 c3-aa c4-31 c5-06 c6-e2 c7-61 
c8-4a c9-62 ca-51 cb-3a cc-40 cd-33 ce-96 cf-da 
d0-fe d1-81 d2-60 d3-3d d4-32 d5-19 d6-58 d7-0e 
d8-a5 d9-e7 da-cf db-28 dc-41 dd-77 de-bc df-5d 
e0-9e e1-72 e2-c6 e3-99 e4-1d e5-25 e6-fb e7-d9 
e8-44 e9-bb ea-67 eb-6d ec-a0 ed-0f ee-8f ef-0a 
f0-00 f1-bd f2-1a f3-9d f4-49 f5-4e f6-73 f7-15 
f8-74 f9-fd fa-68 fb-e6 fc-23 fd-f9 fe-d0 ff-a2 
end wires

wires 8
00-8c 01-c4 02-78 03-92 04-3d 05-cc 06-67 07-d0 
08-bb 09-c3 0a-ca 0b-94 0c-3b 0d-1a 0e-91 0f-d5 
10-de 11-55 12-bd 13-27 14-e5 15-51 16-e3 17-fd 
18-34 19-45 1a-0d 1b-70 1c-66 1d-8d 1e-54 1f-c6 
20-30 21-a6 22-ee 23-cd 24-f1 25-f5 26-28 27-13 
28-26 29-eb 2a-9d 2b-ce 2c-a9 2d-be 2e-40 2f-5f 
30-20 31-cf 32-59 33-48 34-18 35-a8 36-75 37-7e 
38-af 39-98 3a-bf 3b-0c 3c-6f 3d-04 3e-7a 3f-61 
40-2e 41-f8 42-5b 43-f0 44-e2 45-19 46-f3 47-b4 
48-33 49-76 4a-ed 4b-dc 4c-c1 4d-99 4e-fa 4f-6d 
50-6b 51-15 52-c5 53-d9 54-1e 55-11 56-5d 57-c9 
58-9f 59-32 5a-f9 5b-42 5c-b0 5d-56 5e-bc 5f-2f 
60-c2 61-3f 62-9b 63-6c 64-d3 65-69 66-1c 67-06 
68-97 69-65 6a-dd 6b-50 6c-63 6d-4f 6e-a0 6f-3c 
70-1b 71-cb 72-7c 73-ad 74-a1 75-36 76-49 77-96 
78-02 79-8a 7a-3e 7b-fb 7c-72 7d-fe 7e-37 7f-c8 
80-c7 81-a7 82-fc 83-c0 84-93 85-f4 86-d6 87-ff 
88-ba 89-ae 8a-79 8b-e7 8c-00 8d-1d 8e-d1 8f-d7 
90-db 91-0e 92-03 93-84 94-0b 95-a3 96-77 97-68 
98-39 99-4d 9a-ab 9b-62 9c-d2 9d-2a 9e-a2 9f-58 
a0-6e a1-74 a2-9e a3-95 a4-b2 a5-e4 a6-21 a7-81 
a8-35 a9-2c aa-e6 ab-9a ac-b3 ad-73 ae-89 af-38 
b0-5c b1-f7 b2-a4 b3-ac b4-47 b5-f6 b6-df b7-b8 
b8-b7 b9-e9 ba-88 bb-08 bc-5e bd-12 be-2d bf-3a 
c0-83 c1-4c c2-60 c3-09 c4-01 c5-52 c6-1f c7-80 
c8-7f c9-57 ca-0a cb-71 cc-05 cd-23 ce-2b cf-31 
d0-07 d1-8e d2-9c d3-64 d4-e1 d5-0f d6-86 d7-8f 
d8-ef d9-53 da-e0 db-90 dc-4b dd-6a de-10 df-b6 
e0-da e1-d4 e2-44 e3-16 e4-a5 e5-14 e6-aa e7-8b 
e8-f2 e9-b9 ea-ec eb-29 ec-ea ed-4a ee-22 ef-d8 
f0-43 f1-24 f2-e8 f3-46 f4-85 f5-25 f6-b5 f7-b1 
f8-41 f9-5a fa-4e fb-7b fc-82 fd-17 fe-7d ff-87 
end wires

wires 9
00-bb 01-54 02-ad 03-36 04-f2 05-31 06-7c 07-9e 
08-d4 09-f0 0a-46 0b-c0 0c-17 0d-89 0e-33 0f-fe 
10-ed 11-c9 12-ae 13-cf 14-be 15-da 16-d3 17-0c 
18-80 19-48 1a-85 1b-20 1c-90 1d-9c 1e-fd 1f-d0 
20-1b 21-e3 22-8a 23-c3 24-3d 25-8f 26-2d 27-57 
28-84 29-58 2a-52 2b-df 2c-77 2d-26 2e-c7 2f-bf 
30-ec 31-05 32-9a 33-0e 34-6f 35-e0 36-03 37-de 
38-64 39-a3 3a-70 3b-b9 3c-dc 3d-24 3e-dd 3f-42 
40-cb 41-ac 42-3f 43-ce 44-c5 45-65 46-0a 47-76 
48-19 49-7d 4a-d5 4b-ca 4c-6a 4d-f3 4e-6d 4f-61 
50-d2 51-ff 52-2a 53-a9 54-01 55-a6 56-95 57-27 
58-29 59-7b 5a-e4 5b-f9 5c-fb 5d-e6 5e-c2 5f-d1 
60-a4 61-4f 62-a5 63-88 64-38 65-45 66-fc 67-f5 
68-ea 69-c6 6a-4c 6b-f7 6c-8d 6d-4e 6e-71 6f-34 
70-3a 71-6e 72-93 73-a2 74-b1 75-bd 76-47 77-2c 
78-f6 79-af 7a-8e 7b-59 7c-06 7d-49 7e-a0 7f-98 
80-18 81-94 82-ba 83-aa 84-28 85-1a 86-d9 87-b7 
88-63 89-0d 8a-22 8b-92 8c-cc 8d-6c 8e-7a 8f-25 
90-1c 91-9d 92-8b 93-72 94-81 95-56 96-e2 97-c1 
98-7f 99-9b 9a-32 9b-99 9c-1d 9d-91 9e-07 9f-a7 
a0-7e a1-ee a2-73 a3-39 a4-60 a5-62 a6-55 a7-9f 
a8-e7 a9-53 aa-83 ab-cd ac-41 ad-02 ae-12 af-79 
b0-c4 b1-74 b2-b5 b3-e5 b4-c8 b5-b2 b6-bc b7-87 
b8-e9 b9-3b ba-82 bb-00 bc-b6 bd-75 be-14 bf-2f 
c0-0b c1-97 c2-5e c3-23 c4-b0 c5-44 c6-69 c7-2e 
c8-b4 c9-11 ca-4b cb-40 cc-8c cd-ab ce-43 cf-13 
d0-1f d1-5f d2-50 d3-16 d4-08 d5-4a d6-ef d7-f4 
d8-e1 d9-86 da-15 db-eb dc-3c dd-3e de-37 df-2b 
e0-35 e1-d8 e2-96 e3-21 e4-5a e5-b3 e6-5d e7-a8 
e8-f8 e9-b8 ea-68 eb-db ec-30 ed-10 ee-a1 ef-d6 
f0-09 f1-fa f2-04 f3-4d f4-d7 f5-67 f6-78 f7-6b 
f8-e8 f9-5b fa-f1 fb-5c fc-66 fd-1e fe-0f ff-51 
end wires

wires 10
00-76 01-e5 02-5c 03-14 04-86 05-c7 06-c1 07-17 
08-48 09-67 0a-80 0b-65 0c-7f 0d-d9 0e-18 0f-b8 
10-4e 11-31 12-b6 13-fc 14-03 15-d6 16-5a 17-07 
18-0e 19-1c 1a-5f 1b-e0 1c-19 1d-9e 1e-84 1f-ab 
20-cb 21-5b 22-82 23-95 24-a6 25-df 26-b3 27-52 
28-3e 29-b4 2a-fe 2b-ea 2c-57 2d-41 2e-ff 2f-e4 
30-d2 31-11 32-55 33-f7 34-ed 35-8b 36-c6 37-ca 
38-46 39-47 3a-a3 3b-b2 3c-9f 3d-70 3e-28 3f-b7 
40-89 41-2d 42-f4 43-90 44-a8 45-d3 46-38 47-39 
48-08 49-ce 4a-6a 4b-63 4c-e3 4d-66 4e-10 4f-bb 
50-85 51-7d 52-27 53-fa 54-ec 55-32 56-f2 57-2c 
58-62 59-5d 5a-16 5b-21 5c-02 5d-59 5e-60 5f-1a 
60-5e 61-6f 62-58 63-4b 64-83 65-0b 66-4d 67-09 
68-b5 69-a9 6a-4a 6b-e2 6c-8c 6d-c4 6e-c9 6f-61 
